;X;Y;kappa
390;447.4229323;195.3899251;0.0000369
391;450.0787085;196.7795546;0.0000103
392;452.7321164;198.1724228;-0.0000438
393;455.3819601;199.5707621;-0.0000725
394;458.0270440;200.9768050;-0.0002607
395;460.6661720;202.3927840;-0.0004479
396;463.2981485;203.8209314;-0.0008778
397;465.9219833;205.2631442;-0.0007418
398;468.5391145;206.7173590;-0.0000756
399;471.1525632;208.1789308;0.0002172
400;473.7653775;209.6431701;0.0008225
401;476.3806057;211.1053875;0.0011059
402;479.0012960;212.5608936;0.0014363
403;481.6301046;214.0055835;0.0009700
404;484.2649660;215.4423928;0.0003682
405;486.9006894;216.8789174;0.0008730
406;489.5320281;218.3228364;0.0022887
407;492.1537352;219.7818289;0.0029969
408;494.7605640;221.2635743;0.0043884
409;497.3472680;222.7757515;0.0050788
410;499.9086002;224.3260397;0.0064499
411;502.4393141;225.9221181;0.0071366
412;504.9341628;227.5716659;0.0086171
413;507.3878996;229.2823621;0.0094997
414;509.7952779;231.0618860;0.0125869
415;512.1503155;232.9180350;0.0140510
416;514.4377983;234.8600936;0.0163543
417;516.6362155;236.8983601;0.0175233
418;518.7239348;239.0431524;0.0198756
419;520.6793239;241.3047884;0.0211974
420;522.4807505;243.6935861;0.0249317
421;524.1065109;246.2196910;0.0273017
422;525.5296799;248.8806479;0.0318208
423;526.7146489;251.6530447;0.0336865
424;527.6249883;254.5114894;0.0365552
425;528.2242689;257.4305899;0.0381801
426;528.4760612;260.3849540;0.0404429
427;528.3442484;263.3490974;0.0409487
428;527.8162987;266.2905839;0.0423920
429;526.9193338;269.1652887;0.0421040
430;525.6842753;271.9279672;0.0404748
431;524.1420452;274.5333744;0.0393498
432;522.3235652;276.9362655;0.0348599
433;520.2597705;279.0917407;0.0324351
434;517.9826231;280.9817347;0.0281050
435;515.5258295;282.6337478;0.0259056
436;512.9232652;284.0797037;0.0222163
437;510.2088060;285.3515262;0.0201849
438;507.4163274;286.4811391;0.0153673
439;504.5795672;287.5003515;0.0126700
440;501.7210797;288.4316917;0.0089961
441;498.8441717;289.2817136;0.0084279
442;495.9502485;290.0553933;0.0076126
443;493.0407150;290.7577066;0.0072424
444;490.1169765;291.3936294;0.0065381
445;487.1804382;291.9681377;0.0061967
446;484.2325052;292.4862073;0.0055275
447;481.2745827;292.9528142;0.0051945
448;478.3080758;293.3729344;0.0045253
449;475.3343897;293.7515436;0.0042130
450;472.3549296;294.0936179;0.0041391
451;469.3711006;294.4041332;0.0043746
452;466.3841678;294.6871554;0.0042650
453;463.3947445;294.9425153;0.0041970
454;460.4032544;295.1688119;0.0040660
455;457.4101211;295.3646442;0.0039990
456;454.4157682;295.5286112;0.0038632
457;451.4206195;295.6593118;0.0037948
458;448.4250987;295.7553450;0.0036567
459;445.4296293;295.8153099;0.0035875
460;442.4346351;295.8378054;0.0034491
461;439.4405397;295.8214304;0.0033804
462;436.4477668;295.7647839;0.0031819
463;433.4567400;295.6664650;0.0030343
464;430.4677864;295.5258489;0.0028378
465;427.4807676;295.3460506;0.0027020
466;424.4954051;295.1313097;0.0024263
467;421.5114204;294.8858658;0.0022897
468;418.5285352;294.6139588;0.0020142
469;415.5464709;294.3198284;0.0018755
470;412.5649491;294.0077143;0.0015947
471;409.5836914;293.6818564;0.0014529
472;406.6024193;293.3464944;0.0011692
473;403.6208544;293.0058680;0.0010247
474;400.6387182;292.6642170;0.0008992
475;397.6557323;292.3257812;0.0010506
476;394.6716871;291.9943487;0.0015559
477;391.6874329;291.6667666;0.0019086
478;388.7046507;291.3344416;0.0028987
479;385.7250435;290.9886350;0.0033724
480;382.7503144;290.6206081;0.0043130
481;379.7821666;290.2216221;0.0047772
482;376.8223032;289.7829383;0.0056985
483;373.8724272;289.2958180;0.0061619
484;370.9342418;288.7515224;0.0071196
485;368.0094500;288.1413128;0.0076221
486;365.0997551;287.4564503;0.0087305
487;362.2068600;286.6881964;0.0093470
488;359.3326903;285.8280144;0.0108658
489;356.4827481;284.8706202;0.0115549
490;353.6654220;283.8133543;0.0126866
491;350.8891832;282.6536324;0.0132204
492;348.1625028;281.3888703;0.0141890
493;345.4938520;280.0164834;0.0146572
494;342.8917018;278.5338874;0.0155784
495;340.3645236;276.9384979;0.0160624
496;337.9207882;275.2277306;0.0171609
497;335.5689670;273.3990012;0.0178057
498;333.3175310;271.4497251;0.0191565
499;331.1749514;269.3773181;0.0194097
500;329.1496924;267.1792295;0.0190939
501;327.2492729;264.8575297;0.0191550
502;325.4793125;262.4235729;0.0189297
503;323.8452036;259.8898241;0.0187583
504;322.3523386;257.2687482;0.0178941
505;321.0061099;254.5728103;0.0169088
506;319.8118692;251.8144649;0.0144670
507;318.7690845;249.0046580;0.0137689
508;317.8652409;246.1512629;0.0125396
509;317.0863660;243.2617792;0.0119953
510;316.4184871;240.3437064;0.0109255
511;315.8476316;237.4045440;0.0103614
512;315.3598356;234.4517785;0.0087920
513;314.9424567;231.4908995;0.0078374
514;314.5855855;228.5232661;0.0060276
515;314.2796516;225.5497256;0.0051247
516;314.0150842;222.5711254;0.0033232
517;313.7823127;219.5883130;0.0024315
518;313.5717666;216.6021359;0.0008032
519;313.3738752;213.6134413;0.0000760
520;313.1790678;210.6230768;-0.0013453
521;312.9777738;207.6318898;-0.0020591
522;312.7604226;204.6407276;-0.0035006
523;312.5174437;201.6504377;-0.0041566
524;312.2392662;198.6618676;-0.0050957
525;311.9171013;195.6760165;-0.0054361
526;311.5466228;192.6947520;-0.0059598
527;311.1250870;189.7202492;-0.0062080
528;310.6497517;186.7546836;-0.0066931
529;310.1178747;183.8002307;-0.0069303
530;309.5267140;180.8590658;-0.0073966
531;308.8735274;177.9333646;-0.0076289
532;308.1555730;175.0253025;-0.0080977
533;307.3701084;172.1370550;-0.0083374
534;306.5143917;169.2707975;-0.0088444
535;305.5856808;166.4287056;-0.0090474
536;304.5812334;163.6129547;-0.0091373
537;303.4989141;160.8255656;-0.0090547
538;302.3401725;158.0676442;-0.0087418
539;301.1077712;155.3399618;-0.0085804
540;299.8044745;152.6432887;-0.0082675
541;298.4330470;149.9783957;-0.0081113
542;296.9962529;147.3460534;-0.0077955
543;295.4968569;144.7470323;-0.0076340
544;293.9376233;142.1821030;-0.0073005
545;292.3213165;139.6520361;-0.0071236
546;290.6507011;137.1576022;-0.0066758
547;288.9285414;134.6995719;-0.0062906
548;287.1576018;132.2787158;-0.0053371
549;285.3406773;129.8957011;-0.0049945
550;283.4811838;127.5490863;-0.0044706
551;281.5831174;125.2354605;-0.0042070
552;279.6504964;122.9513370;-0.0037017
553;277.6873392;120.6932292;-0.0034517
554;275.6976640;118.4576505;-0.0029549
555;273.6854892;116.2411144;-0.0027063
556;271.6548331;114.0401344;-0.0022060
557;269.6097141;111.8512238;-0.0019558
558;267.5541504;109.6708960;-0.0014423
559;265.4921604;107.4956645;-0.0012029
560;263.4277624;105.3220427;-0.0005682
561;261.3648804;103.1466269;-0.0001408
562;259.3054142;100.9677914;0.0003468
563;257.2493157;98.7856216;0.0003720
564;255.1964579;96.6002721;0.0003598
565;253.1467141;94.4118974;0.0003523
566;251.0999572;92.2206521;0.0003380
567;249.0560603;90.0266910;0.0003308
568;247.0148965;87.8301684;0.0003163
569;244.9763388;85.6312392;0.0003091
570;242.9402605;83.4300578;0.0002945
571;240.9065344;81.2267789;0.0002872
572;238.8750338;79.0215570;0.0002727
573;236.8456316;76.8145468;0.0002654
574;234.8182010;74.6059028;0.0002508
575;232.7926151;72.3957798;0.0002435
576;230.7687468;70.1843321;0.0002289
577;228.7464693;67.9717146;0.0002216
578;226.7256557;65.7580817;0.0002070
579;224.7061791;63.5435880;0.0001997
580;222.6879124;61.3283882;0.0001851
581;220.6707289;59.1126369;0.0001778
582;218.6545015;56.8964887;0.0001706
583;216.6391033;54.6800981;0.0001562
584;214.6244075;52.4636197;0.0001493
585;212.6102862;50.2472059;0.0001306
586;210.5965888;48.0309525;0.0001198
587;208.5831419;45.8148979;0.0000990
588;206.5697708;43.5990780;0.0000885
589;204.5563011;41.3835286;0.0000675
590;202.5425581;39.1682855;0.0000571
591;200.5283672;36.9533846;0.0000361
592;198.5135539;34.7388617;0.0000256
593;196.4979436;32.5247526;0.0000045
594;194.4813617;30.3110931;-0.0000060
595;192.4636337;28.0979191;-0.0000273
596;190.4445849;25.8852664;-0.0000379
597;188.4240408;23.6731708;-0.0000593
598;186.4018269;21.4616682;-0.0000701
599;184.3777684;19.2507944;-0.0000918
600;182.3516910;17.0405851;-0.0001027
601;180.3234199;14.8310764;-0.0001247
602;178.2927806;12.6223039;-0.0001358
603;176.2595986;10.4143035;-0.0001583
604;174.2236992;8.2071110;-0.0001701
605;172.1849079;6.0007623;-0.0001941
606;170.1430501;3.7952932;-0.0002131
607;168.0979513;1.5907395;-0.0006881
608;166.0494368;-0.6128630;-0.0017106
609;163.9973176;-2.8154575;-0.0092192
610;161.9329980;-5.0048128;-0.0117983
611;159.8253666;-7.1360914;-0.0176475
612;157.6395820;-9.1590538;-0.0202800
613;155.3408030;-11.0234610;-0.0262108
614;152.8941882;-12.6790738;-0.0301154
615;150.2648964;-14.0756529;-0.0444323
616;147.4295638;-15.1580732;-0.0527653
617;144.4503503;-15.8348033;-0.0605007
618;141.4280221;-15.9978774;-0.0618194
619;138.4674343;-15.5514850;-0.0760444
620;135.7024874;-14.4909288;-0.0831508
621;133.2801864;-12.8526187;-0.0838247
622;131.3379569;-10.6827431;-0.0807042
623;129.9422270;-8.0980147;-0.0663151
624;129.1277096;-5.2466499;-0.0567285
625;128.9160694;-2.2710517;-0.0508244
626;129.2338881;0.7303057;-0.0487217
627;129.9652327;3.6785895;-0.0387516
628;131.0001257;6.5038083;-0.0320515
629;132.2738951;9.2003874;-0.0218396
630;133.7421058;11.7915262;-0.0177827
631;135.3604171;14.3005576;-0.0098857
632;137.0844879;16.7508147;-0.0062067
633;138.8699775;19.1656304;-0.0021146
634;140.6762142;21.5664258;-0.0012645
635;142.4899901;23.9603128;-0.0008825
636;144.3105429;26.3479187;-0.0008431
637;146.1371718;28.7298386;-0.0007005
638;147.9691761;31.1066678;-0.0006369
639;149.8058551;33.4790014;-0.0005058
640;151.6465083;35.8474345;-0.0004409
641;153.4904347;38.2125623;-0.0003113
642;155.3369338;40.5749800;-0.0002467
643;157.1853049;42.9352828;-0.0001178
644;159.0348472;45.2940658;-0.0000534
645;160.8848601;47.6519242;0.0000750
646;162.7346429;50.0094531;0.0001391
647;164.5834948;52.3672478;0.0002672
648;166.4307152;54.7259034;0.0003312
649;168.2756034;57.0860150;0.0004591
650;170.1174587;59.4481778;0.0005230
651;171.9555805;61.8129871;0.0006509
652;173.7892679;64.1810379;0.0007148
653;175.6178203;66.5529254;0.0008429
654;177.4405370;68.9292449;0.0009019
655;179.2567173;71.3105913;0.0009399
656;181.0656606;73.6975601;0.0009067
657;182.8666661;76.0907462;0.0008198
658;184.6590440;78.4907347;0.0008153
659;186.4424418;80.8977947;0.0008705
660;188.2169022;83.3118253;0.0008928
661;189.9824902;85.7327047;0.0009404
662;191.7392708;88.1603110;0.0009638
663;193.4873090;90.5945225;0.0010107
664;195.2266698;93.0352173;0.0010341
665;196.9574183;95.4822735;0.0010808
666;198.6796194;97.9355694;0.0011040
667;200.3933382;100.3949832;0.0011505
668;202.0986397;102.8603929;0.0011737
669;203.7955889;105.3316768;0.0012199
670;205.4842508;107.8087130;0.0012430
671;207.1646905;110.2913797;0.0012890
672;208.8369730;112.7795551;0.0013120
673;210.5011633;115.2731173;0.0013578
674;212.1573263;117.7719445;0.0013806
675;213.8055272;120.2759150;0.0014262
676;215.4458309;122.7849067;0.0014490
677;217.0783025;125.2987980;0.0014944
678;218.7030070;127.8174670;0.0015171
679;220.3200093;130.3407919;0.0015621
680;221.9293746;132.8686508;0.0015848
681;223.5311678;135.4009219;0.0016274
682;225.1254539;137.9374834;0.0016199
683;226.7121253;140.4783569;0.0015054
684;228.2905367;143.0240109;0.0014505
685;229.8599379;145.5750009;0.0013401
686;231.4195788;148.1318824;0.0012853
687;232.9687094;150.6952109;0.0011764
688;234.5065796;153.2655419;0.0011224
689;236.0324393;155.8434308;0.0010154
690;237.5455383;158.4294331;0.0009627
691;239.0451267;161.0241044;0.0008576
692;240.5304543;163.6280001;0.0008077
693;242.0007710;166.2416758;0.0006927
694;243.4553268;168.8656868;0.0007010
695;244.8935528;171.5003749;0.0011098
696;246.3165205;174.1441458;0.0013495
697;247.7261733;176.7943764;0.0018086
698;249.1244626;179.4484342;0.0020274
699;250.5133398;182.1036864;0.0026800
700;251.8947565;184.7575006;0.0029431
701;253.2692370;187.4082785;0.0035838
702;254.6241416;190.0639650;0.0049357
703;255.9397240;192.7376566;0.0085005
704;257.1961686;195.4425002;0.0103677
705;258.3736598;198.1916426;0.0149895
706;259.4523819;200.9982306;0.0178528
707;260.4109068;203.8731437;0.0240452
708;261.2126499;206.8059507;0.0267391
709;261.8127215;209.7745424;0.0306817
710;262.1661462;212.7566897;0.0324171
711;262.2279490;215.7301636;0.0360887
712;261.9531546;218.6727350;0.0381414
713;261.2975555;221.5618404;0.0435967
714;260.2486537;224.3610991;0.0457231
715;258.8362574;227.0156953;0.0469236
716;257.0931177;229.4695313;0.0473138
717;255.0519854;231.6665092;0.0462353
718;252.7456113;233.5505312;0.0447464
719;250.2068830;235.0663454;0.0416328
720;247.4743937;236.1939727;0.0402819
721;244.5943791;236.9606852;0.0373729
722;241.6136097;237.3970611;0.0356486
723;238.5788561;237.5336786;0.0304880
724;235.5368889;237.4011158;0.0272803
725;232.5339502;237.0299499;0.0208962
726;229.5936899;236.4507066;0.0183536
727;226.7091648;235.6938426;0.0144386
728;223.8712567;234.7898096;0.0126772
729;221.0708477;233.7690593;0.0094104
730;218.2988197;232.6620433;0.0077384
731;215.5461420;231.4989408;0.0048647
732;212.8076454;230.2978787;0.0043734
733;210.0834639;229.0604326;0.0044076
734;207.3741161;227.7869772;0.0043894
735;204.6801210;226.4778873;0.0043712
736;202.0019971;225.1335376;0.0043590
737;199.3402632;223.7543027;0.0043348
738;196.6954380;222.3405574;0.0043219
739;194.0680404;220.8926763;0.0042948
740;191.4585890;219.4110341;0.0042805
741;188.8676025;217.8960055;0.0042506
742;186.2955997;216.3479652;0.0042350
743;183.7430994;214.7672879;0.0042021
744;181.2106203;213.1543484;0.0041850
745;178.6986810;211.5095212;0.0041491
746;176.2078004;209.8331811;0.0041304
747;173.7384972;208.1257028;0.0040914
748;171.2912901;206.3874609;0.0040711
749;168.8666979;204.6188303;0.0040289
750;166.4652392;202.8201854;0.0040070
751;164.0874329;200.9919012;0.0039614
752;161.7337977;199.1343521;0.0039379
753;159.4048523;197.2479130;0.0038887
754;157.1011154;195.3329586;0.0038500
755;154.8231058;193.3898635;0.0037297
756;152.5710770;191.4191293;0.0036505
757;150.3442917;189.4217319;0.0034646
758;148.1417813;187.3987582;0.0033749
759;145.9625768;185.3512946;0.0032008
760;143.8057095;183.2804279;0.0031157
761;141.6702108;181.1872448;0.0029486
762;139.5551119;179.0728319;0.0028661
763;137.4594439;176.9382760;0.0027025
764;135.3822383;174.7846637;0.0026212
765;133.3225261;172.6130817;0.0025399
766;131.2793387;170.4246166;0.0023773
767;129.2517073;168.2203552;0.0022959
768;127.2386631;166.0013842;0.0021320
769;125.2392375;163.7687901;0.0020498
770;123.2524616;161.5236598;0.0018839
771;121.2773668;159.2670798;0.0018005
772;119.3129842;157.0001369;0.0016322
773;117.3583451;154.7239176;0.0015477
774;115.4124807;152.4395088;0.0013773
775;113.4744224;150.1479971;0.0012918
776;111.5432013;147.8504692;0.0011197
777;109.6178488;145.5480117;0.0010335
778;107.6973960;143.2417113;0.0008607